Startup YC link,Startup Name,Startup Location,Discription,Batch,_tagLink_zhfs4_1040 href 2,Type,Industry
https://www.ycombinator.com/companies/eos-ai,Eos AI,"San Francisco, CA, USA",The autonomous operating system for healthcare,Winter 2026,https://www.ycombinator.com/companies?industry=Healthcare,Healthcare,
https://www.ycombinator.com/companies/envariant,Envariant,"San Francisco, CA, USA",Interpretability and reasoning infra for foundation models.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/sila,Sila,,Agent & Team Communication Workspace,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Productivity
https://www.ycombinator.com/companies/cofia,Cofia,,AI automations that write themselves,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Productivity
https://www.ycombinator.com/companies/mango-medical-inc,Mango Medical,"San Francisco, CA, USA",We simulate orthopedic surgeries based on CT scans,Winter 2026,https://www.ycombinator.com/companies?industry=Healthcare,Healthcare,Healthcare IT
https://www.ycombinator.com/companies/autostep,Autostep,"San Francisco, CA, USA",Uncover repetitive tasks and automate them,Spring 2025,https://www.ycombinator.com/companies?industry=B2B,B2B,Operations
https://www.ycombinator.com/companies/tepali,Tepali,,AI-native operating system for medspas,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/generalastro,General Astronautics,"San Francisco, CA, USA",The Space Robotics Company,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Manufacturing and Robotics
https://www.ycombinator.com/companies/payna,Payna,,Crypto/fintech compliance simplified.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Finance and Accounting
https://www.ycombinator.com/companies/aemon,Aemon,"San Francisco, CA, USA",The AI R&D Engineer,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/shortkit,shortkit,,We make enterprise-scale short-form video really simple.,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,"Engineering, Product and Design"
https://www.ycombinator.com/companies/doomersion,Doomersion,"San Francisco, CA, USA",Doomscroll to learn languages,Winter 2026,https://www.ycombinator.com/companies?industry=Consumer,Consumer,
https://www.ycombinator.com/companies/carson,Carson,"San Francisco, CA, USA","more capable than Cowork, more secure than OpenClaw",Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/qomplement,qomplement,"San Francisco, CA, USA",AI Agents for Document Filling,Spring 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/arga-labs,Arga Labs,"San Francisco, CA, USA",The validation framework for AI agents,Spring 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/one-robot,One Robot,"San Francisco, CA, USA",World models for VLA evals and training.,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Manufacturing and Robotics
https://www.ycombinator.com/companies/cajal-technologies,Cajal,"San Francisco, CA, USA",Scaling formal verification to accelerate scientific discovery,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/revion,Revion,,Intelligence for Automotive Operations,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/terranox-ai,Terranox AI,"San Francisco, CA, USA",AI-powered uranium exploration,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,Energy
https://www.ycombinator.com/companies/docura-health,Docura Health,"San Francisco, CA, USA",AI-Native Medico-Legal Firm,Winter 2026,https://www.ycombinator.com/companies?industry=Healthcare,Healthcare,
https://www.ycombinator.com/companies/confluence-labs,Confluence Labs,"San Francisco, CA, USA",We're an AI research lab focused on learning efficiency,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/mochacare,MochaCare,"San Francisco, CA, USA",AI-Supercharged Humans for Home Care Agency Growth,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Operations
https://www.ycombinator.com/companies/congruent,Congruent,,We build radars for end-to-end autonomy,Winter 2026,https://www.ycombinator.com/companies?industry=Industrials,Industrials,
https://www.ycombinator.com/companies/ashr,Ashr,"San Francisco, CA, USA",Mimic Users in Your Production Environment to Catch Agent Fails,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Human Resources
https://www.ycombinator.com/companies/vector-legal,Vector Legal,"San Francisco, CA, USA",AI Law Firm + Legal Tech Platform for Startups,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Legal
https://www.ycombinator.com/companies/end-close,End Close,"San Francisco, CA, USA",AI powered reconciliation for high-volume payments companies,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Finance and Accounting
https://www.ycombinator.com/companies/proximitty,Proximitty,"San Francisco, CA, USA",Autonomous loan servicing and collections,Winter 2026,https://www.ycombinator.com/companies?industry=Fintech,Fintech,Credit and Lending
https://www.ycombinator.com/companies/brownie,IncidentFox,"San Francisco, CA, USA","AI SRE agent that triages, coordinates, and fixes production incidents",Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Infrastructure
https://www.ycombinator.com/companies/wideframe,Wideframe,"San Francisco, CA, USA",AI agent for video work outside the NLE,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/celltype,CellType,"New York, NY, USA",The agentic drug company. We simulate human biology.,Winter 2026,https://www.ycombinator.com/companies?industry=Healthcare,Healthcare,Drug Discovery and Delivery
https://www.ycombinator.com/companies/polymorph,Polymorph,,Personalized notifs & attribution for consumer and self-serve apps,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/sponge,Sponge,,Financial infrastructure for the agent economy,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,
https://www.ycombinator.com/companies/return-signals,Return Signals,"San Francisco, CA, USA",AI luxury concierge for E-commerce brands,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Retail
https://www.ycombinator.com/companies/unifold,Unifold,"New York, NY, USA",Multi-chain deposit and payment infrastructure,Winter 2026,https://www.ycombinator.com/companies?industry=Fintech,Fintech,Payments
https://www.ycombinator.com/companies/asimov,Asimov,"San Francisco, CA, USA",Internet-scale marketplace for robot training data,Winter 2026,https://www.ycombinator.com/companies?industry=B2B,B2B,Supply Chain and Logistics
