YC link,Name,Location,Discription,Batch,Type,Industry,Website URL
https://www.ycombinator.com/companies/eos-ai,Eos AI,SF,The autonomous operating system for healthcare,Winter 2026,Healthcare,,https://www.helloeos.ai/
https://www.ycombinator.com/companies/envariant,Envariant,SF,Interpretability and reasoning infra for foundation models.,Winter 2026,B2B,,https://envariant.ai/
https://www.ycombinator.com/companies/sila,Sila,,Agent & Team Communication Workspace,Winter 2026,B2B,Productivity,https://silahq.com/
https://www.ycombinator.com/companies/cofia,Cofia,,AI automations that write themselves,Winter 2026,B2B,Productivity,https://cofia.ai/
https://www.ycombinator.com/companies/mango-medical-inc,Mango Medical,SF,We simulate orthopedic surgeries based on CT scans,Winter 2026,Healthcare,Healthcare IT,https://mangomedical.io/
https://www.ycombinator.com/companies/autostep,Autostep,SF,Uncover repetitive tasks and automate them,Spring 2025,B2B,Operations,https://autostep.ai/
https://www.ycombinator.com/companies/tepali,Tepali,,AI-native operating system for medspas,Winter 2026,B2B,,https://tepali.com/
https://www.ycombinator.com/companies/generalastro,General Astronautics,SF,The Space Robotics Company,Winter 2026,Industrials,Manufacturing and Robotics,https://generalastro.com/
https://www.ycombinator.com/companies/payna,Payna,,Crypto/fintech compliance simplified.,Winter 2026,B2B,Finance and Accounting,https://
https://www.ycombinator.com/companies/aemon,Aemon,SF,The AI R&D Engineer,Winter 2026,B2B,,https://aemon.ai/
https://www.ycombinator.com/companies/shortkit,shortkit,,We make enterprise-scale short-form video really simple.,Winter 2026,B2B,"Engineering, Product and Design",https://www.shortkit.dev/
https://www.ycombinator.com/companies/doomersion,Doomersion,SF,Doomscroll to learn languages,Winter 2026,Consumer,,https://doomersion.com/
https://www.ycombinator.com/companies/carson,Carson,SF,"more capable than Cowork, more secure than OpenClaw",Winter 2026,B2B,,https://usecarson.com/
https://www.ycombinator.com/companies/qomplement,qomplement,SF,AI Agents for Document Filling,Spring 2026,B2B,,https://qomplement.com/
https://www.ycombinator.com/companies/arga-labs,Arga Labs,SF,The validation framework for AI agents,Spring 2026,B2B,,https://www.argalabs.com/
https://www.ycombinator.com/companies/one-robot,One Robot,SF,World models for VLA evals and training.,Winter 2026,Industrials,Manufacturing and Robotics,https://www.onerobot.io/
https://www.ycombinator.com/companies/cajal-technologies,Cajal,SF,Scaling formal verification to accelerate scientific discovery,Winter 2026,B2B,,https://caj.al/
https://www.ycombinator.com/companies/revion,Revion,,Intelligence for Automotive Operations,Winter 2026,B2B,,https://revion.inc/
https://www.ycombinator.com/companies/terranox-ai,Terranox AI,SF,AI-powered uranium exploration,Winter 2026,Industrials,Energy,https://terranox.ai/
https://www.ycombinator.com/companies/docura-health,Docura Health,SF,AI-Native Medico-Legal Firm,Winter 2026,Healthcare,,https://docurahealth.com/
https://www.ycombinator.com/companies/confluence-labs,Confluence Labs,SF,We're an AI research lab focused on learning efficiency,Winter 2026,B2B,,https://confluence.sh/
https://www.ycombinator.com/companies/mochacare,MochaCare,SF,AI-Supercharged Humans for Home Care Agency Growth,Winter 2026,B2B,Operations,https://www.mochacare.com/
https://www.ycombinator.com/companies/congruent,Congruent,,We build radars for end-to-end autonomy,Winter 2026,Industrials,,https://congruent.io/
https://www.ycombinator.com/companies/ashr,Ashr,SF,Mimic Users in Your Production Environment to Catch Agent Fails,Winter 2026,B2B,Human Resources,https://ashr.io/
https://www.ycombinator.com/companies/vector-legal,Vector Legal,SF,AI Law Firm + Legal Tech Platform for Startups,Winter 2026,B2B,Legal,https://vectorlegal.com/
https://www.ycombinator.com/companies/end-close,End Close,SF,AI powered reconciliation for high-volume payments companies,Winter 2026,B2B,Finance and Accounting,https://endclose.com/
https://www.ycombinator.com/companies/proximitty,Proximitty,SF,Autonomous loan servicing and collections,Winter 2026,Fintech,Credit and Lending,https://proximitty.ai/
https://www.ycombinator.com/companies/brownie,IncidentFox,SF,"AI SRE agent that triages, coordinates, and fixes production incidents",Winter 2026,B2B,Infrastructure,https://incidentfox.ai/
https://www.ycombinator.com/companies/wideframe,Wideframe,SF,AI agent for video work outside the NLE,Winter 2026,B2B,,https://wideframe.com/
https://www.ycombinator.com/companies/celltype,CellType,NYC,The agentic drug company. We simulate human biology.,Winter 2026,Healthcare,Drug Discovery and Delivery,https://www.celltype.com/
https://www.ycombinator.com/companies/polymorph,Polymorph,,Personalized notifs & attribution for consumer and self-serve apps,Winter 2026,B2B,,https://usepolymorph.com/
https://www.ycombinator.com/companies/sponge,Sponge,,Financial infrastructure for the agent economy,Winter 2026,B2B,,https://paysponge.com/
https://www.ycombinator.com/companies/return-signals,Return Signals,SF,AI luxury concierge for E-commerce brands,Winter 2026,B2B,Retail,https://www.returnsignals.com/
https://www.ycombinator.com/companies/unifold,Unifold,NYC,Multi-chain deposit and payment infrastructure,Winter 2026,Fintech,Payments,https://unifold.io/
https://www.ycombinator.com/companies/asimov,Asimov,SF,Internet-scale marketplace for robot training data,Winter 2026,B2B,Supply Chain and Logistics,https://tryasimov.ai/
